gw,home_club,away_club,home_group,away_group,self
34,CRY,AVL,G6,G3,False
34,FUL,EVE,G8,G6,False
34,HUL,BOU,G1,G9,False
34,IPS,LEE,G2,G5,False
34,LIV,CHE,G10,G8,False
34,MCI,BRE,G9,G7,False
34,SUN,NEW,G2,G10,False
35,BOU,MUN,G9,G1,False
35,BRE,AVL,G7,G3,False
35,BHA,SUN,G3,G2,False
35,EVE,HUL,G6,G1,False
35,FUL,IPS,G8,G2,False
35,LEE,ARS,G5,G4,False
35,MCI,LIV,G9,G10,False
35,NEW,COV,G10,G4,False
35,NFO,CRY,G5,G6,False
35,TOT,CHE,G7,G8,False
36,ARS,NFO,G4,G5,False
36,AVL,NEW,G3,G10,False
36,CHE,EVE,G8,G6,False
36,COV,TOT,G4,G7,False
36,CRY,BHA,G6,G3,False
36,HUL,FUL,G1,G8,False
36,IPS,MCI,G2,G9,False
36,LIV,BRE,G10,G7,False
36,MUN,LEE,G1,G5,False
36,SUN,BOU,G2,G9,False
37,BOU,CHE,G9,G8,False
37,BRE,HUL,G7,G1,False
37,BHA,LIV,G3,G10,False
37,EVE,ARS,G6,G4,False
37,FUL,COV,G8,G4,False
37,LEE,SUN,G5,G2,False
37,MCI,AVL,G9,G3,False
37,NEW,CRY,G10,G6,False
37,NFO,IPS,G5,G2,False
37,TOT,MUN,G7,G1,False
38,ARS,BHA,G4,G3,False
38,AVL,TOT,G3,G7,False
38,CHE,BRE,G8,G7,False
38,COV,NFO,G4,G5,False
38,CRY,LEE,G6,G5,False
38,HUL,NEW,G1,G10,False
38,IPS,EVE,G2,G6,False
38,LIV,BOU,G10,G9,False
38,MUN,FUL,G1,G8,False
38,SUN,MCI,G2,G9,False
